SLIDE_NO,LONGITUDE,LATITUDE,EVENT_DATE,RAINFALL_EVENT_DAY_MM,RAINFALL_3DAY_CUMULATIVE_MM,RAINFALL_7DAY_CUMULATIVE_MM,MATCH_STATUS,NOTES
AP/PP/83E12/2008/A-8,93.742222,27.124444,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PAP/83E12/2021/7,93.702139,27.123139,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-6,93.694444,27.112222,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-7,93.699722,27.105556,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PAP/83E12/2021/18,93.66925,27.088278,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/6,93.660111,27.106722,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-5,93.663889,27.106472,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PAP/83E12/2021/66,93.655639,27.216278,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/65,93.691472,27.216639,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/64,93.695278,27.218611,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/63,93.698194,27.220833,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/9,93.739167,27.16,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/8,93.705333,27.128972,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
ARN/PAP/83E11/2017/04,93.73164,27.1275,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2017 only; specific day/month unrecorded.
ARN/PAP/83E11/2017/02,93.73164,27.1275,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2017 only; specific day/month unrecorded.
AP/PAP/83E16/2021/11,93.752306,27.163556,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/10,93.751167,27.165806,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/12,93.780944,27.194111,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/46,93.805167,27.339833,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/42,93.820722,27.336667,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/41,93.821306,27.337028,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/43,93.819417,27.334056,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/29,93.822389,27.325806,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/45,93.812528,27.328528,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/44,93.813389,27.327583,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/28,93.806306,27.307111,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/27,93.802833,27.300833,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/26,93.802056,27.294278,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/25,93.796806,27.291083,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/24,93.796444,27.27925,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/14,93.807167,27.236306,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/15,93.806444,27.238222,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
